Pays,Lat,Long,Date,Deces
Danemark,56.131198,9.116544,2020-04-12,273
,,,,
Danemark,56.131198,9.116544,2020-04-11,260
,,,,
Danemark,56.131198,9.116544,2020-04-10,247
,,,,
Danemark,56.131198,9.116544,2020-04-09,237
,,,,
Danemark,56.131198,9.116544,2020-04-08,218
,,,,
Danemark,56.131198,9.116544,2020-04-07,203
,,,,
Danemark,56.131198,9.116544,2020-04-06,187
,,,,
Danemark,56.131198,9.116544,2020-04-05,179
,,,,
Danemark,56.131198,9.116544,2020-04-04,161
,,,,
Danemark,56.131198,9.116544,2020-04-03,139
,,,,
Danemark,56.131198,9.116544,2020-04-02,123
,,,,
Danemark,56.131198,9.116544,2020-04-01,104
,,,,
Danemark,56.131198,9.116544,2020-03-31,90
,,,,
Danemark,56.131198,9.116544,2020-03-30,77
,,,,
Danemark,56.131198,9.116544,2020-03-29,72
,,,,
Danemark,56.131198,9.116544,2020-03-28,65
,,,,
Danemark,56.131198,9.116544,2020-03-27,52
,,,,
Danemark,56.131198,9.116544,2020-03-26,41
,,,,
Danemark,56.131198,9.116544,2020-03-25,34
,,,,
Danemark,56.131198,9.116544,2020-03-24,32
,,,,
Danemark,56.131198,9.116544,2020-03-23,24
,,,,
Danemark,56.131198,9.116544,2020-03-22,13
,,,,
Danemark,56.131198,9.116544,2020-03-21,13
,,,,
Danemark,56.131198,9.116544,2020-03-20,9
,,,,
Danemark,56.131198,9.116544,2020-03-19,6
,,,,
Danemark,56.131198,9.116544,2020-03-18,4
,,,,
Danemark,56.131198,9.116544,2020-03-17,4
,,,,
Danemark,56.131198,9.116544,2020-03-16,3
,,,,
Danemark,56.131198,9.116544,2020-03-15,2
,,,,
Danemark,56.131198,9.116544,2020-03-14,1
,,,,
Danemark,56.131198,9.116544,2020-03-13,0
,,,,
Danemark,56.131198,9.116544,2020-03-12,0
,,,,
Danemark,56.131198,9.116544,2020-03-11,0
,,,,
Danemark,56.131198,9.116544,2020-03-10,0
,,,,
Danemark,56.131198,9.116544,2020-03-09,0
,,,,
Danemark,56.131198,9.116544,2020-03-08,0
,,,,
Danemark,56.131198,9.116544,2020-03-07,0
,,,,
Danemark,56.131198,9.116544,2020-03-06,0
,,,,
Danemark,56.131198,9.116544,2020-03-05,0
,,,,
Danemark,56.131198,9.116544,2020-03-04,0
,,,,
Danemark,56.131198,9.116544,2020-03-03,0
,,,,
Danemark,56.131198,9.116544,2020-03-02,0
,,,,
Danemark,56.131198,9.116544,2020-03-01,0
,,,,
